SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,110,14,96,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,3,0,3,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,319,15,304,0,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,67,11,56,0,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,88,4,83,1,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,123,2,121,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,23,10,13,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,134,12,121,1,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,427,198,227,2,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,299,35,262,2,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,5,0,5,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,24,0,24,0,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,62,13,49,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,66,11,55,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,193,104,86,0,3,7,-1,8,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,192,115,77,0,0,20,13,7,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,15,4,11,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,126,109,17,0,0,0,0,0,0,"Travelled by Road,Train,Flight",
155,GA,Goa,GA_North Goa,North Goa,283,189,92,2,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,932,520,407,5,0,0,0,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,86,77,8,1,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,21892,3579,16829,1484,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,98,44,46,8,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,245,22,210,13,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,229,30,179,20,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,228,54,162,12,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,296,148,138,10,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,338,169,156,13,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,102,30,69,3,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,61,16,43,2,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,74,24,49,1,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,4,0,4,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,27,7,18,2,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,719,156,533,30,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,89,37,51,1,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,272,120,147,5,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,170,105,62,3,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,208,68,128,12,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,184,72,106,6,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,152,32,118,2,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,317,141,162,14,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,39,21,17,1,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,95,16,79,0,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,145,71,73,1,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,208,39,154,15,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,246,100,130,16,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,21,6,13,2,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,409,239,157,13,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,201,75,118,8,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,5968,1865,3921,182,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,195,89,96,10,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,21,13,8,0,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,2568,669,1850,49,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,216,145,66,5,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,47,15,32,0,0,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,58,10,47,0,1,4,3,1,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,267,69,195,3,0,2,-7,9,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,289,75,211,3,0,1,-10,11,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,34,31,3,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,7,2,5,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,4,4,0,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,35,9,24,2,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,47,12,32,2,1,0,0,0,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,40,7,26,0,7,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,116,38,74,0,4,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,126,29,97,0,0,0,-1,1,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,0,21,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,371,52,315,4,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,498,146,349,3,0,0,0,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,87,41,45,1,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,4545,844,3609,92,0,20,20,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,127,28,99,0,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,6009,1007,4902,100,0,60,-13,73,0,,
196,HR,Haryana,HR_Hisar,Hisar,282,83,192,7,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,349,101,244,4,0,8,8,0,0,,
198,HR,Haryana,HR_Jind,Jind,119,24,91,4,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,118,63,55,0,0,8,7,1,0,,
200,HR,Haryana,HR_Karnal,Karnal,405,148,249,8,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,156,42,114,0,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,297,96,200,1,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,247,65,182,0,0,6,-1,7,0,,
204,HR,Haryana,HR_Palwal,Palwal,364,98,263,3,0,12,6,6,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,121,17,104,0,0,1,0,1,0,,
206,HR,Haryana,HR_Panipat,Panipat,246,92,147,7,0,2,-3,5,0,,
207,HR,Haryana,HR_Rewari,Rewari,386,267,114,5,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,757,216,533,8,0,101,101,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,137,40,97,0,0,6,5,1,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,1548,513,1017,18,0,82,69,13,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,112,17,95,0,0,5,5,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,51,15,34,2,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,54,6,48,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,50,15,35,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,190,67,122,1,0,1,0,0,1,,
250,JH,Jharkhand,JH_Dumka,Dumka,13,6,7,0,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,505,257,246,2,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,111,14,97,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,104,22,80,2,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,11,3,8,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,119,37,81,1,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,203,32,168,3,0,1,1,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,28,0,28,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,32,4,27,1,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,202,45,156,1,0,2,2,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,59,6,53,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,70,25,45,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,35,5,30,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,68,9,59,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,122,7,115,0,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,268,95,169,4,0,1,1,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,17,12,3,2,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,84,46,38,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,355,6,348,1,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,64,16,48,0,0,3,3,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,720,145,564,11,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,307,25,279,3,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,1023,561,439,23,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,486,203,274,9,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,93,31,60,2,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,119,44,74,1,0,0,0,0,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,397,88,301,8,0,0,0,0,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,249,60,188,1,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,29,8,21,0,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,859,245,598,16,0,0,0,0,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,604,168,429,7,0,0,0,0,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,538,267,267,4,0,0,0,0,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,124,10,113,1,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,124,55,68,1,0,0,0,0,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,236,49,187,0,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,45,13,32,0,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,186,66,120,0,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,849,225,611,13,0,0,0,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,1151,697,423,31,0,0,0,0,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,290,82,207,1,0,0,0,0,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,230,88,137,5,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,1244,657,552,35,0,0,0,0,0,,
